"mandato","estado","nm_municipio","domestic_homicides","all_homicides"
2000,"11","ALTO ALEGRE DOS PARECIS",1,1
2000,"11","ALVORADA DOESTE",1,1
2000,"11","ARIQUEMES",4,16
2000,"11","BURITIS",2,8
2000,"11","CACOAL",4,6
2000,"11","CANDEIAS DO JAMARI",1,1
2000,"11","ITAPUA DO OESTE",1,1
2000,"11","JARU",1,4
2000,"11","JIPARANA",6,7
2000,"11","NOVA BRASILANDIA DOESTE",1,1
2000,"11","NOVA MAMORE",1,1
2000,"11","NOVA UNIAO",1,1
2000,"11","OURO PRETO DO OESTE",1,4
2000,"11","PORTO VELHO",18,61
2000,"11","PRESIDENTE MEDICI",1,2
2000,"11","ROLIM DE MOURA",2,4
2000,"11","SERINGUEIRAS",1,1
2000,"11","VILHENA",2,8
2000,"12","PLACIDO DE CASTRO",1,3
2000,"12","RIO BRANCO",13,33
2000,"12","XAPURI",1,2
2000,"13","BARCELOS",1,1
2000,"13","IPIXUNA",1,1
2000,"13","ITACOATIARA",2,2
2000,"13","MANACAPURU",1,2
2000,"13","MANAUS",19,102
2000,"13","MARAA",1,1
2000,"13","NHAMUNDA",1,1
2000,"13","PRESIDENTE FIGUEIREDO",1,2
2000,"13","URUCARA",2,2
2000,"14","ALTO ALEGRE",1,1
2000,"14","AMAJARI",1,1
2000,"14","BOA VISTA",4,18
2000,"14","CARACARAI",1,2
2000,"14","SAO LUIZ",1,1
2000,"15","AGUA AZUL DO NORTE",1,3
2000,"15","ALMEIRIM",1,3
2000,"15","ANANINDEUA",3,10
2000,"15","BARCARENA",1,2
2000,"15","BELEM",16,81
2000,"15","BENEVIDES",1,1
2000,"15","BRASIL NOVO",1,1
2000,"15","BREJO GRANDE DO ARAGUAIA",1,2
2000,"15","BREU BRANCO",1,2
2000,"15","BREVES",1,1
2000,"15","CAPITAO POCO",1,1
2000,"15","CASTANHAL",2,3
2000,"15","CONCEICAO DO ARAGUAIA",1,1
2000,"15","CURIONOPOLIS",1,1
2000,"15","CURRALINHO",1,2
2000,"15","GOIANESIA DO PARA",1,3
2000,"15","JACUNDA",3,4
2000,"15","MARABA",7,22
2000,"15","MEDICILANDIA",2,3
2000,"15","NOVO PROGRESSO",2,3
2000,"15","NOVO REPARTIMENTO",3,6
2000,"15","OURILANDIA DO NORTE",1,3
2000,"15","PARAUAPEBAS",5,12
2000,"15","REDENCAO",1,2
2000,"15","RONDON DO PARA",1,5
2000,"15","SAO DOMINGOS DO ARAGUAIA",1,1
2000,"15","SAO FELIX DO XINGU",2,5
2000,"15","SAO GERALDO DO ARAGUAIA",2,6
2000,"15","SAPUCAIA",1,2
2000,"15","TAILANDIA",6,13
2000,"15","TUCUMA",3,4
2000,"15","TUCURUI",1,6
2000,"15","ULIANOPOLIS",1,1
2000,"16","FERREIRA GOMES",1,1
2000,"16","MACAPA",6,33
2000,"16","SANTANA",4,9
2000,"17","ALMAS",1,1
2000,"17","ALVORADA",1,1
2000,"17","ARAGUAINA",1,8
2000,"17","ARRAIAS",1,1
2000,"17","CRISTALANDIA",1,2
2000,"17","LAGOA DA CONFUSAO",1,1
2000,"17","NAZARE",1,1
2000,"17","NOVA OLINDA",2,3
2000,"17","PALMAS",7,11
2000,"17","PARAISO DO TOCANTINS",1,3
2000,"17","PORTO NACIONAL",2,3
2000,"17","PUGMIL",1,1
2000,"17","SAO VALERIO",1,1
2000,"17","XAMBIOA",2,2
2000,"21","ACAILANDIA",1,3
2000,"21","ARARI",1,1
2000,"21","BARREIRINHAS",1,1
2000,"21","BOM JESUS DAS SELVAS",1,1
2000,"21","BURITI",1,1
2000,"21","BURITICUPU",1,1
2000,"21","CAROLINA",1,1
2000,"21","CAXIAS",2,3
2000,"21","CODO",1,2
2000,"21","ESTREITO",1,1
2000,"21","GOVERNADOR EUGENIO BARROS",1,1
2000,"21","GRAJAU",2,5
2000,"21","IMPERATRIZ",1,9
2000,"21","ITINGA DO MARANHAO",1,2
2000,"21","MAGALHAES DE ALMEIDA",2,2
2000,"21","OLHO DAGUA DAS CUNHAS",2,2
2000,"21","PACO DO LUMIAR",2,4
2000,"21","PERITORO",1,1
2000,"21","PINDAREMIRIM",2,2
2000,"21","SAO JOSE DE RIBAMAR",4,4
2000,"21","SAO LUIS",14,52
2000,"21","SAO ROBERTO",1,1
2000,"21","SENADOR ALEXANDRE COSTA",1,1
2000,"21","TIMBIRAS",1,1
